7.2.1 - Renewable energy share in the total final energy consumption (%),7.a.1 - International financial flows to developing countries in support of clean energy R&D and renewable energy production (millions of constant 2020 United States dollars),7.b.1 - Installed renewable electricity-generating capacity (watts per capita),9.4.1 - Annual CO₂ emissions per GDP (kg per international-$),9.5.1 - Research and development expenditure (% of GDP),Assigned Score
54.59,130000.0,1.87,0.20700096,,0.48207327961313795
70.51,21200000.0,41.69,0.22176038,,0.5721003976116887
33.13,28760000.0,610.03,0.109254226,0.37144,0.8635934905522478
62.98,32020000.0,34.99,0.10091895,,0.5340881147804197
32.83,,,0.20857173,0.9523,0.47234458374092403
23.99,7440000.0,66.93,0.24995023,0.53691,0.42606810823972796
2.55,,316.15,,,0.5401880526000797
12.02,,,0.2634645,0.61583,0.39873618052421855
14.72,,,0.32615235,1.89945,0.4116574053468444
96.38,80000.0,31.37,0.041236974,,0.6494723273819094
34.56,,,0.12898503,2.96603,0.4748412642311186
26.28,31310000.0,0.34,0.14926624,,0.3757518120693674
8.17,1700000.0,100.46,0.24140982,,0.3881042981968525
15.95,380000.0,97.81,0.15585743,,0.41042558050293376
,,,,2.3556936,0.5125281062201367
12.71,0.0,1.15,,,0.3299779099963666
16.33,890000.0,309.47,0.21893853,,0.5746320167293804
5.03,24480000.0,46.2,0.19962463,0.72388,0.33925843680800905
23.21,60130000.0,204.08,0.11437219,0.16531,0.5224791661679153
5.91,0.0,84.64,0.2641005,,0.36890393991694886
80.8,30000.0,5.38,,,0.5826899456302415
28.59,,,0.50508684,1.41624,0.4711246396702624
65.72,0.0,145.66,0.11779255,,0.6270685826563065
89.73,34890000.0,40.05,0.08168454,,0.6351301572262906
,,,,1.9413218,0.512528106257171
,,,0.1885467,2.185032,0.5097125436199126
,,,,,0.5078947368421053
25.8,5620000.0,230.35,,,0.5511761012353213
44.3,,,0.21315797,2.75742,0.514598259975151
15.21,,,0.12475572,2.19666,0.403728282677808
7.72,0.0,286.55,,,0.5270911205674147
90.08,20000.0,151.86,0.1491818,,0.7225325325148666
48.09,129150000.0,1.39,0.16464189,0.06933,0.4661239506505858
27.37,47660000.0,719.78,0.17059536,0.28052,0.9291059107956825
16.04,,,0.19424053,3.10788,0.41012502768882175
42.13,29370000.0,54.11,0.12781079,,0.47329551966489436
0.0,,,,,0.34925313545032977
17.86,,,0.2870824,1.21371,0.4212774945989787
11.3,,,,,0.3906623871722295
10.69,0.0,22.45,,,0.33865124501395477
3.54,,207.82,,,0.46205630722830293
64.02,11920000.0,169.88,0.14504743,0.02943,0.6455892682189124
73.18,1126780000.0,30.39,0.1660267,,0.6190325060532067
86.57,4660000.0,0.61,0.113149606,,0.5939805937430608
16.77,31690000.0,65.06,,,0.3944769503249216
76.25,780000.0,7.31,0.18281437,,0.564413387423324
,,,0.2514967,2.6213546,0.5127521808462969
48.83,100420000.0,173.28,0.21729094,,0.5952178033355757
0.23,0.0,,0.11400216,0.8634,0.33861164278806277
13.6,,,0.19780019,1.50755,0.4013554447291565
81.26,,,0.2395623,2.0002,0.6513144675507485
32.73,1872630000.0,86.34,0.29347315,0.65573,0.5564461441081879
22.05,1088530000.0,36.71,0.19317506,0.22632,0.4407055731973259
1.0,3650000.0,135.93,0.5076604,,0.40154139146283135
0.49,0.0,39.28,0.35778058,0.04279,0.3239645714115763
10.83,,,0.12411667,1.1693,0.3876467595489076
2.04,,,,,0.3567287879735754
3.85,,,0.21515222,4.79662,0.36646409218954756
17.08,,,0.16841199,1.42443,0.41268897415751626
8.88,73560000.0,77.05,0.41614303,,0.3846189706944554
7.26,,,0.23457292,3.22175,0.3798979168333363
7.17,91460000.0,96.49,0.23968887,,0.3852872560010053
1.88,257250000.0,181.72,0.6624121,0.11683,0.4625255556731998
71.63,276750000.0,41.19,0.1085726,,0.5815417833240006
42.52,890000.0,23.41,,,0.45605688615477813
0.03,,12.85,0.38087818,0.06349,0.31314938424968075
23.39,80000.0,590.2,0.37740156,0.10107,0.8246278667226459
50.21,385120000.0,777.06,0.44052806,,1.0791987919083632
,,,,0.6582916,0.5125281063718414
40.97,,,0.167789,0.63869,0.500204646504506
4.75,6420000.0,58.88,0.27024928,,0.34578906526009456
40.22,750000.0,34.17,0.44224498,,0.4651778458578357
94.42,6630000.0,19.34,0.10714519,,0.636679496844341
2.98,0.0,0.79,0.5379567,,0.30810651212305534
56.81,,,,,0.5574354000805178
33.73,,,0.1753482,0.93663,0.4740384166532754
,,,0.20760888,,0.5059996208141961
,,,0.25696766,,0.508382985183723
16.05,,,0.27342254,1.16712,0.4139850979730445
8.43,0.0,,,0.20079,0.37507589438387756
83.76,5430000.0,7.35,0.103401646,,0.5883331036460917
73.19,17380000.0,22.04,0.07632564,,0.5599012980530609
5.31,60000.0,232.11,0.3389185,1.04026,0.48625358673148966
1.12,5890000.0,36.52,,,0.31445833477507723
70.59,21560000.0,18.79,0.17835656,,0.553030228989331
7.56,,,0.09910905,0.59286,0.37445619707637207
12.03,0.0,35.36,,,0.35330525533125634
25.17,10000.0,28.39,0.2759625,0.01036,0.40223605182406563
9.19,0.0,177.18,0.16229789,0.34691,0.45048377851358695
10.16,388870000.0,185.78,0.23436953,0.30711,0.4810215824568064
2.0,10280000.0,31.02,,,0.31372418020517606
,,,,,0.5078947368421053
25.75,100000.0,,0.23371619,0.25168,0.4379155404237752
,,,,,0.5078947368421053
3.26,119480000.0,79.46,1.0911084,0.10161,0.40507721023194193
40.6,0.0,,0.20032036,0.50374,0.49071694962902546
10.86,837820000.0,91.07,0.20771125,,0.42582677000076674
79.81,8450000.0,77.24,0.23803653,,0.6332392688408759
59.85,22370000.0,64.72,0.107106246,0.06354,0.5495661287497599
30.85,43820000.0,184.98,0.17990181,,0.5338782130135995
0.66,0.0,69.02,,,0.3370436154772361
74.29,15330000.0,39.23,0.18258199,,0.5819471202152819
7.44,,,0.19330448,2.1388,0.3785648234307734
4.62,0.0,507.89,,,0.6827824564315408
28.93,,,0.20877989,,0.4534295769148359
51.44,20280000.0,102.8,0.17252,,0.5459212094709969
81.97,48220000.0,1.2,0.08804228,,0.5782623560070468
81.64,97270000.0,10.79,0.09954657,,0.5869922600042473
,,,,2.8975074,0.5125281061717123
13.19,670000.0,188.33,1.1755483,,0.51787942437647
20.87,8330000.0,,0.24083377,0.36367,0.42073633989373216
0.0,,,,,0.34925313545032977
59.74,,,0.09882294,2.04781,0.5656578467171816
0.01,,1.8,0.38370922,0.21825,0.30487305519661817
43.36,101760000.0,55.51,0.16917954,,0.4840240204311066
0.59,0.0,94.04,,,0.3556703813071035
12.73,37790000.0,8.39,0.12312177,,0.331193976247699
24.44,360000.0,549.72,0.1250176,,0.7811163913182813
59.24,134080000.0,1373.43,0.12671864,0.14684,1.5408844082540472
27.89,70990000.0,189.42,0.1445662,0.12685,0.5304979588363015
27.53,92110000.0,60.76,0.15509763,0.32222,0.4335079727549398
15.05,,,0.3190199,1.20891,0.4125223008564904
27.47,,,0.18590164,1.34955,0.45160801310055654
1.36,,152.94,,,0.4126481717457837
0.05,,8.71,0.23827302,0.53129,0.3032121940651734
23.03,,,0.20785114,0.50112,0.4363973405923006
3.18,,,0.47392744,0.99002,0.37650421196453027
82.82,16300000.0,10.97,0.056000892,,0.5858072814792056
1.31,,86.7,,,0.3624717920101603
10.22,0.0,22.55,0.2937492,,0.3392686874544697
,,2.95,,,0.4531044194598587
4.93,0.0,65.63,,,0.35013265588148446
36.63,0.0,127.37,,,0.5128953118158021
,,,,,0.5078947368421053
40.59,0.0,12.56,0.18256217,,0.4376520676787795
0.01,,2.49,0.4095156,,0.30200654826235607
36.01,101060000.0,11.11,0.26469448,,0.42816124229366376
21.05,100910000.0,,0.44332743,0.91891,0.43522390413680156
1.23,0.0,98.12,0.21501939,,0.35955768427561996
75.86,240000.0,12.6,0.09682988,,0.562801210209692
0.78,,65.33,0.121996395,1.81391,0.34300538370862416
0.05,,,,,0.3494363622278603
12.43,,,0.24652737,0.8397,0.39942080478978437
20.63,,,0.24023631,1.94645,0.42916622272827865
48.64,21000000.0,5.51,,,0.4658540017998513
94.93,3340000.0,0.69,,,0.631074968101188
8.07,385820000.0,137.9,0.6464506,0.68657,0.4569908815074966
,,,,0.637916,0.5125281063736624
3.18,,269.96,0.34220353,4.51633,0.5168732066240486
31.55,290000.0,0.07,,,0.3982153410642242
16.9,,,0.17999093,1.24213,0.41258846464551124
47.86,200420000.0,100.23,0.07929096,0.12836,0.53887502975252
,,,,,0.5078947368421053
59.74,2540000.0,41.44,,,0.532840111009904
18.32,290000.0,320.79,,,0.5917897557888183
51.56,,,0.09071193,3.32106,0.5352902932456833
24.2,,,0.069303095,,0.4293614728670746
0.88,60000.0,77.52,0.57175595,,0.35995590594587357
41.58,0.0,564.57,0.21097124,0.09401,0.8639022582156024
85.29,21080000.0,11.69,0.073049545,,0.596434426042947
23.7,304310000.0,157.67,0.25652862,1.11406,0.5067946193996595
76.74,18330000.0,8.71,0.18245496,,0.5680160589643004
1.78,38040000.0,61.6,,,0.3372120077228243
0.46,0.0,2.38,1.1622754,0.08445,0.334851454561446
11.91,19200000.0,31.4,0.23890081,0.7184,0.3549659924256065
11.83,1130500000.0,509.97,0.25486875,1.02517,0.7652514770965211
0.06,0.0,0.2,0.4477825,,0.29260657955764735
0.41,,10.61,,,0.3017464906821637
6.59,400000.0,205.98,,,0.4621592960137366
91.47,524910000.0,21.84,0.06378772,,0.6483362981054693
6.92,688170000.0,,0.5371044,0.47113,0.41366389354554556
0.32,,65.58,0.284769,1.27836,0.34936810408740393
10.09,,,0.14948754,1.70494,0.3861600745503285
10.12,,,0.29645014,3.00082,0.39336632496611484
4.76,,99.57,,,0.3848277832372224
,,,0.43996987,1.6074606,0.5218528969187466
60.83,0.0,1087.49,0.095841624,0.38673,1.323547488322474
1.49,83230000.0,59.14,0.30363837,0.1245,0.3436448395838893
29.7,1850000.0,38.53,,,0.42053101946985494
14.57,400000.0,556.44,0.32556635,,0.7597047483887355
24.59,108620000.0,197.17,0.3896097,,0.533099315552394
17.33,15751700000.0,203.35,0.32356676,2.196267,1.196963816494324
2.91,57270000.0,8.12,0.16789567,,0.2980186568234935
81.87,66660000.0,136.94,0.12167164,,0.6827731867211331
80.43,10000.0,79.17,0.4716897,,0.6478809697298105
